x	y	rho	u	v	w	A11	A12	A13	A21	A22	A23	A31	A32	A33	omega	curlynorm	rho-rho0detA
-0.17625 	0 	1.00665 	-0.00330499 	-0.0999995 	0	1.00221	-9.51006e-05	0	9.51929e-05	1.00221	0	0	0	1.00221	3.35422e-05	0.000885555	-5.00623e-07

-0.17375 	0 	1.00659 	-0.00323674 	-0.0999994 	0	1.00219	-9.20106e-05	0	9.21076e-05	1.00219	0	0	0	1.00219	4.97877e-05	0.000882793	-4.95788e-07

-0.17125 	0 	1.00652 	-0.00316896 	-0.0999993 	0	1.00217	-8.85897e-05	0	8.8691e-05	1.00217	0	0	0	1.00217	6.80164e-05	0.000881795	-4.91527e-07

-0.16875 	0 	1.00646 	-0.00310157 	-0.0999991 	0	1.00215	-8.47891e-05	0	8.48926e-05	1.00215	0	0	0	1.00215	8.6623e-05	0.000882408	-4.87932e-07

-0.16625 	0 	1.00639 	-0.00303449 	-0.0999988 	0	1.00213	-8.05939e-05	0	8.06927e-05	1.00213	0	0	0	1.00213	0.000101335	0.000883809	-4.85307e-07

-0.16375 	0 	1.00633 	-0.0029677 	-0.0999986 	0	1.0021	-7.60907e-05	0	7.61663e-05	1.0021	0	0	0	1.0021	0.000109162	0.000883932	-4.85116e-07

-0.16125 	0 	1.00626 	-0.00290123 	-0.0999983 	0	1.00208	-7.16073e-05	0	7.16494e-05	1.00208	0	0	0	1.00208	0.000113327	0.00088057	-4.87508e-07

-0.15875 	0 	1.0062 	-0.00283516 	-0.099998 	0	1.00206	-6.758e-05	0	6.75882e-05	1.00206	0	0	0	1.00206	0.000121017	0.000873387	-4.90447e-07

-0.15625 	0 	1.00613 	-0.0027696 	-0.0999977 	0	1.00204	-6.44019e-05	0	6.43761e-05	1.00204	0	0	0	1.00204	0.000141064	0.000863777	-4.91609e-07

-0.15375 	0 	1.00607 	-0.00270471 	-0.0999973 	0	1.00202	-6.24072e-05	0	6.23677e-05	1.00202	0	0	0	1.00202	0.000176673	0.000854197	-4.86598e-07

-0.15125 	0 	1.006 	-0.00264064 	-0.0999968 	0	1.002	-6.16354e-05	0	6.16109e-05	1.002	0	0	0	1.002	0.000194605	0.000845873	-4.69694e-07

-0.14875 	0 	1.00594 	-0.00257747 	-0.0999963 	0	1.00198	-6.17632e-05	0	6.17102e-05	1.00198	0	0	0	1.00198	0.000130987	0.000837911	-4.46523e-07

-0.14625 	0 	1.00588 	-0.00251527 	-0.0999962 	0	1.00196	-6.32669e-05	0	6.3065e-05	1.00196	0	0	0	1.00196	-4.43217e-05	0.000837402	-4.33019e-07

-0.14375 	0 	1.00582 	-0.0024541 	-0.0999966 	0	1.00194	-6.83293e-05	0	6.78965e-05	1.00194	0	0	0	1.00193	-0.000290301	0.000880091	-4.3454e-07

